 variables ="x","u","ue","error"
 zone T=           1
   4.6142142099600090       -5.4700335068275721E-002  -1.1844894641057256E-002  -4.2855440427218464E-002
   4.7123889803846897       -7.8420311349498742E-002  -2.7305690969252113E-002  -5.1114620380246625E-002
   4.8105637508093704      -0.10181206626629224       -4.1717144906706534E-002  -6.0094921359585711E-002
   4.9087385212340520      -0.12429596946011903       -5.4525432360640738E-002  -6.9770537099478294E-002
   5.0069132916587327      -0.14533820720120683       -6.5238338027170148E-002  -8.0099869174036678E-002
   5.1050880620834143      -0.16446678418323660       -7.3444170949396967E-002  -9.1022613233839630E-002
   5.2032628325080950      -0.18128433940262298       -7.8827585570003966E-002 -0.10245675383261901     
   5.3014376029327757      -0.19547716605635035       -8.1181700284175040E-002 -0.11429546577217531     
   5.3996123733574573      -0.20681952643529727       -8.0416047783647276E-002 -0.12640347865165000     
   5.4977871437821380      -0.21517109867421014       -7.6560051664633116E-002 -0.13861104700957702     
   5.5959619142068187      -0.22046128839726675       -6.9761895695518744E-002 -0.15069939270174801     
   5.6941366846315002      -0.22264168993751621       -6.0282829197747349E-002 -0.16235886073976885     
   5.7923114550561809      -0.22155139606127480       -4.8487127380906700E-002 -0.17306426868036812     
   5.8904862254808616      -0.21653418420503026       -3.4828092450712125E-002 -0.18170609175431812     
   5.9886609959055432      -0.20534515893162808       -1.9830633459455821E-002 -0.18551452547217226     
   6.0868357663302239      -0.18103341306189322       -4.0710943455001362E-003 -0.17696231871639309     
   6.1850105367549055      -0.12310746195394888        1.1844894641057249E-002 -0.13495235659500612     
   6.2831853071795862        2.7305690969252110E-002   2.7305690969252110E-002   0.0000000000000000     
 variables ="x","u","ue","error"
 zone T=           4
   0.0000000000000000        1.5383798628894127E-002   1.5383798628894127E-002   0.0000000000000000     
   9.8174770424681035E-002   3.0790413167785267E-002   3.0659272267203174E-002   1.3114090058209335E-004
  0.19634954084936207        4.5045302760306355E-002   4.4756527266201711E-002   2.8877549410464415E-004
  0.29452431127404310        5.7590024074686254E-002   5.7133814022109652E-002   4.5621005257660135E-004
  0.39269908169872414        6.7931008532390882E-002   6.7315480346160056E-002   6.1552818623082650E-004
  0.49087385212340517        7.5658974181407379E-002   7.4910250511463744E-002   7.4872366994363504E-004
  0.58904862254808621        8.0465115406271021E-002   7.9626261759764366E-002   8.3885364650665428E-004
  0.68722339297276724        8.2153430366960156E-002   8.1282280423559311E-002   8.7114994340084517E-004
  0.78539816339744828        8.0648694445238894E-002   7.9814666634304893E-002   8.3402781093400158E-004
  0.88357293382212931        7.5999755948386871E-002   7.5279819966874884E-002   7.1993598151198768E-004
  0.98174770424681035        6.8378011393213464E-002   6.7852012035527223E-002   5.2599935768624095E-004
   1.0799224746714913        5.8071104853400606E-002   5.7816689333501051E-002   2.5441551989955485E-004
   1.1780972450961724        4.5472081826205574E-002   4.5559503684361381E-002  -8.7421858155807552E-005
   1.2762720155208536        3.1064405608182424E-002   3.1551491858695609E-002  -4.8708625051318427E-004
   1.3744467859455345        1.5403406315928705E-002   1.6330973895180768E-002  -9.2756757925206365E-004
   1.4726215563702154       -9.0512692548085528E-004   4.8286576338966785E-004  -1.3879926888705231E-003
   1.5707963267948966       -1.7228387023857466E-002  -1.5383798628894116E-002  -1.8445883949633497E-003
   1.6689710972195777       -3.2931118318604478E-002  -3.0659272267203167E-002  -2.2718460514013113E-003
   1.7671458676442586       -4.7400363284355103E-002  -4.4756527266201697E-002  -2.6438360181534060E-003
   1.8653206380689396       -6.0069426321685812E-002  -5.7133814022109645E-002  -2.9356122995761666E-003
   1.9634954084936207       -7.0440122754410264E-002  -6.7315480346160042E-002  -3.1246424082502222E-003
   2.0616701789183018       -7.8102446019406094E-002  -7.4910250511463730E-002  -3.1921955079423636E-003
   2.1598449493429825       -8.2750885025011475E-002  -7.9626261759764366E-002  -3.1246232652471090E-003
   2.2580197197676637       -8.4196753015859660E-002  -8.1282280423559311E-002  -2.9144725923003489E-003
   2.3561944901923448       -8.2376044054509212E-002  -7.9814666634304879E-002  -2.5613774202043332E-003
   2.4543692606170260       -7.7352507427292841E-002  -7.5279819966874828E-002  -2.0726874604180129E-003
   2.5525440310417071       -6.9315817116888848E-002  -6.7852012035527182E-002  -1.4638050813616660E-003
   2.6507188014663878       -5.8574905626923406E-002  -5.7816689333501016E-002  -7.5821629342238961E-004
   2.7488935718910690       -4.5546721300218786E-002  -4.5559503684361270E-002   1.2782384142484560E-005
   2.8470683423157501       -3.0740848276891160E-002  -3.1551491858695546E-002   8.1064358180438570E-004
   2.9452431127404308       -1.4740591150832481E-002  -1.6330973895180706E-002   1.5903827443482250E-003
   3.0434178831651120        1.8187344247403037E-003  -4.8286576338967777E-004   2.3016001881299816E-003
   3.1415926535897931        1.8273454205433394E-002   1.5383798628894177E-002   2.8896555765392171E-003
   3.2397674240144743        3.3956204280339658E-002   3.0659272267203292E-002   3.2969320131363659E-003
   3.3379421944391554        4.8220651574624462E-002   4.4756527266201752E-002   3.4641243084227100E-003
   3.4361169648638361        6.0465301972491094E-002   5.7133814022109687E-002   3.3314879503814065E-003
   3.5342917352885173        7.0155472416670875E-002   6.7315480346160042E-002   2.8399920705108328E-003
   3.6324665057131984        7.6842581617065059E-002   7.4910250511463758E-002   1.9323311056013009E-003
   3.7306412761378791        8.0180027188624117E-002   7.9626261759764366E-002   5.5376542885975100E-004
   3.8288160465625602        7.9935060548654735E-002   8.1282280423559311E-002  -1.3472198749045761E-003
   3.9269908169872414        7.5996238765555849E-002   7.9814666634304879E-002  -3.8184278687490303E-003
   4.0251655874119221        6.8376217631800670E-002   7.5279819966874856E-002  -6.9036023350741854E-003
   4.1233403578366037        5.7209844522700184E-002   6.7852012035527196E-002  -1.0642167512827011E-002
   4.2215151282612844        4.2747704547728194E-002   5.7816689333501044E-002  -1.5068984785772850E-002
   4.3196898986859651        2.5345460392884440E-002   4.5559503684361367E-002  -2.0214043291476927E-002
   4.4178646691106467        5.4494966322812290E-003   3.1551491858695595E-002  -2.6101995226414366E-002
   4.5160394395353274       -1.6420474629947796E-002   1.6330973895180751E-002  -3.2751448525128547E-002
   4.6142142099600090       -3.9691074833914382E-002   4.8286576338965164E-004  -4.0173940597304031E-002
   4.7123889803846897       -6.3756335894257957E-002  -1.5383798628894132E-002  -4.8372537265363821E-002
   4.8105637508093704       -8.7999302670894786E-002  -3.0659272267203184E-002  -5.7340030403691601E-002
   4.9087385212340520      -0.11181327138120213       -4.4756527266201718E-002  -6.7056744115000413E-002
   5.0069132916587327      -0.13462181207414622       -5.7133814022109652E-002  -7.7487998052036572E-002
   5.1050880620834143      -0.15589678717490205       -6.7315480346160056E-002  -8.8581306828741990E-002
   5.2032628325080950      -0.17517363832996838       -7.4910250511463744E-002 -0.10026338781850463     
   5.3014376029327757      -0.19206318745517920       -7.9626261759764366E-002 -0.11243692569541483     
   5.3996123733574573      -0.20625884815379009       -8.1282280423559311E-002 -0.12497656773023078     
   5.4977871437821380      -0.21753678463797346       -7.9814666634304879E-002 -0.13772211800366857     
   5.5959619142068187      -0.22574220019229063       -7.5279819966874870E-002 -0.15046238022541575     
   5.6941366846315002      -0.23074186658241780       -6.7852012035527209E-002 -0.16288985454689059     
   5.7923114550561809      -0.23228489594227791       -5.7816689333501044E-002 -0.17446820660877688     
   5.8904862254808616      -0.22960444863615037       -4.5559503684361360E-002 -0.18404494495178902     
   5.9886609959055432      -0.22028323450363482       -3.1551491858695581E-002 -0.18873174264493925     
   6.0868357663302239      -0.19703615029373725       -1.6330973895180748E-002 -0.18070517639855649     
   6.1850105367549055      -0.13864534619033017       -4.8286576338964579E-004 -0.13816248042694051     
   6.2831853071795862        1.5383798628894139E-002   1.5383798628894139E-002   0.0000000000000000     
 variables ="x","u","ue","error"
 zone T=           5
   0.0000000000000000       -6.1112976495521377E-003  -6.1112976495521377E-003   0.0000000000000000     
   9.8174770424681035E-002   9.9244212426125803E-003   9.8189120601981407E-003   1.0550918241443961E-004
  0.19634954084936207        2.5622633070711540E-002   2.5371786485984465E-002   2.5084658472707480E-004
  0.29452431127404310        4.0371186934417547E-002   3.9949637385776060E-002   4.2154954864148664E-004
  0.39269908169872414        5.3593036876704976E-002   5.2992246124847153E-002   6.0079075185782288E-004
  0.49087385212340517        6.4768812829888250E-002   6.3998392563734269E-002   7.7042026615398163E-004
  0.58904862254808621        7.3457214978326621E-002   7.2545116667109125E-002   9.1209831121749629E-004
  0.68722339297276724        7.9312430939414466E-002   7.8303972620737169E-002   1.0084583186772966E-003
  0.78539816339744828        8.2097888610988087E-002   8.1053650819923995E-002   1.0442377910640926E-003
  0.88357293382212931        8.1695798068544878E-002   8.0688482673512224E-002   1.0073153950326541E-003
  0.98174770424681035        7.8112098128168439E-002   7.7222501388579765E-002   8.8959673958867447E-004
   1.0799224746714913        7.1476600867132603E-002   7.0788902682161925E-002   6.8769818497067814E-004
   1.1780972450961724        6.2038313638565414E-002   6.1634926144542607E-002   4.0338749402280688E-004
   1.2762720155208536        5.0156105697942370E-002   5.0112353960453208E-002   4.3751737489161613E-005
   1.3744467859455345        3.6285068170231423E-002   3.6663992116995586E-002  -3.7892394676416336E-004
   1.4726215563702154        2.0959084627971605E-002   2.1806653617885346E-002  -8.4756898991374119E-004
   1.5707963267948966        4.7702784080850390E-003   6.1112976495521481E-003  -1.3410192414671090E-003
   1.6689710972195777       -1.1653873901634826E-002  -9.8189120601981303E-003  -1.8349618414366959E-003
   1.7671458676442586       -2.7674880522095362E-002  -2.5371786485984458E-002  -2.3030940361109045E-003
   1.8653206380689396       -4.2668083127047798E-002  -3.9949637385776053E-002  -2.7184457412717453E-003
   1.9634954084936207       -5.6047053016555083E-002  -5.2992246124847146E-002  -3.0548068917079368E-003
