x,y,f,u,ue,e
x,y,f,u,ue,e
0.5625,0.34375,-17.0739299217,0.8656704695,0.8649753945,0.0006950749
0.59375,0.34375,-36.3980357218,0.8494433498,0.8478522808,0.001591069
0.625,0.34375,-16.0832903077,0.8154437517,0.8147890054,0.0006547463
0.65625,0.34375,4.3863459842,0.7735909845,0.7738788665,-0.000287882
0.6875,0.34375,-14.4745788667,0.7338799878,0.7332907317,0.0005892561
0.71875,0.34375,-33.1961056105,0.6871013257,0.6856406064,0.0014607193
0.75,0.34375,-12.3096174773,0.6241136276,0.6236125065,0.0005011211
0.78125,0.34375,8.6954190012,0.5551153741,0.5555786773,-0.0004633032
0.8125,0.34375,-9.6716043916,0.4903629307,0.4899692023,0.0003937283
0.84375,0.34375,-27.9454849471,0.4208880241,0.4196410562,0.001246968
